first name,chinese, gender,pinyin
Tom,汤姆,m,tāng mǔ
Tony,托尼,m,tuō ní
Tony,汤尼,m,tāng ní
Tori,托莉,f,tuō lì
Tracy,翠西,f,cuì xī
Tracy,特瑞西,m,tè ruì xī
Treena,特丽娜,f,tè lì nà
Trevor,特雷弗,m,tè léi fú
Tricia,特瑞萨,f,tè ruì sà
Trina,崔娜,f,cuī nà
Trinity,翠妮缇,f,cuì nī tí
Trista,翠丝特,f,cuì sī tè
Troy,特洛伊,m,tè luò yī
Truda,杜达,f,dù dá
Truman,杜鲁门,m,dù lǔ mén
Turner,特纳,m,tè nà
Tyler,泰勒,m,tài lēi
Tyrone,泰朗,f,tài lǎng
Tyrone,泰伦,m,tài lún
Ula,优拉,f,yōu lā
Ulysses,尤里西斯,m,yóu lǐ xī sī
Umberto,翁贝托,m,wēng bèi tuō
Una,优娜,f,yōu nà
Upton,阿普顿,m,ā pǔ dùn
Uriah,尤莱亚,m,yóu lái yà
Ursula,厄休拉,f,è xiū lā
Valentina,范伦汀娜,f,fàn lún tīng nà
Valentine,瓦伦汀,f,wǎ lún tīng
Valentine,范伦丁,m,fàn lún dīng
Valentine,范伦铁恩,m,fàn lún tiě ēn
Valeria,瓦莱里娅,f,wǎ lái lǐ yà
Valerie,瓦勒莉,f,wǎ lēi lì
Vanessa,瓦妮莎,f,wǎ nī shā
Vay,薇,f,wēi
Venus,维纳斯,f,wéi nà sī
Vera,维拉,f,wéi lā
Vergil,维吉尔,m,wéi jí ěr
Verna,维娜,f,wéi nà
Verne,佛能,m,fú néng
Veromca,维隆卡,f,wéi lóng kǎ
Veronica,维拉妮卡,f,wéi lā nī kǎ
Veronica,维罗尼卡,f,wéi luō ní kǎ
Vic,维克,m,wéi kè
Vicki,薇琪,f,wēi qí
Vicky,维吉,f,wéi jí
Vicky,维基,f,wéi jī
Victor,维克特,m,wéi kè tè
Victoria,维多利亚,f,wéi duō lì yà
Vincent,文森,m,wén sēn
Vincent,文森特,m,wén sēn tè
Viola,维尔拉,f,wéi ěr lā
Violet,维尔莉特,f,wéi ěr lì tè
Virgil,维吉尔,m,wéi jí ěr
Virginia,维吉妮亚,f,wéi jí nī yà
Virginia,维吉尼亚,f,wéi jí ní yà
Vita,维达,f,wéi dá
Vito,维多,m,wéi duō
Vivian,卫维恩,m,wèi wéi ēn
Viviane,维维安,f,wéi wéi ān
Vivien,维文,f,wéi wén
Wade,维德,m,wéi dé
Walker,瓦尔克,m,wǎ ěr kè
Wallace,华莱士,m,huá lái shì
Wallis,华莉丝,f,huá lì sī
Walter,沃尔特,m,wò ěr tè
Walter,瓦尔特,m,wǎ ěr tè
Wanda,旺妲,f,wàng dá
Wanda,旺达,f,wàng dá
Ward,华德,m,huá dé
Warner,华纳,m,huá nà
Wayne,韦恩,m,wéi ēn
Webb,韦勃,m,wéi bó
Webster,韦伯斯特,m,wéi bó sī tè
Wendell,温德尔,m,wēn dé ěr
Wendy,温蒂,f,wēn dì
Wendy,温迪,f,wēn dí
Werner,韦纳尔,m,wéi nà ěr
Wesley,韦斯利,m,wéi sī lì
Wilbur,韦尔伯,m,wéi ěr bó
Wilfried,威尔弗里德,m,wēi ěr fú lǐ dé
Will,威尔,m,wēi ěr
William,威廉,m,wēi lián
Willie,威利,m,wēi lì
Wilson,威尔逊,m,wēi ěr xùn
Winfred,威弗列德,m,wēi fú liè dé
Winifred,威尼弗雷德,f,wēi ní fú léi dé
Winni,温妮,f,wēn nī
Winston,温士顿,m,wēn shì dùn
Woodrow,伍德洛,m,wǔ dé luò
Wordsworth,渥兹华斯,m,wò zī huá sī
Wright,莱特,m,lái tè
Xanthe,桑席,f,sāng xí
Xavier,赛维尔,m,sài wéi ěr
Xaviera,赛薇亚拉,f,sài wēi yà lā
Xenia,芝妮雅,f,zhī nī yǎ
Yale,耶鲁,m,yé lǔ
Yanis,亚尼斯,m,yà ní sī
Yann,雅恩,m,yǎ ēn
Yasmine,雅斯敏,f,yǎ sī mǐn
Yedda,耶达,f,yé dá
Yehudi,耶呼弟,m,yé hū dì
Yetta,依耶塔,f,yī yé tǎ
York,约克,m,yuē kè
Yves,依夫,m,yī fū
Yvette,依耶芙特,f,yī yé fú tè
Ylvia,西尔维亚,f,xī ěr wéi yà
Yvonne,伊芳,f,yī fāng
Zachary,扎克利,m,zhā kè lì
Zachary,扎卡里,m,zhā kǎ lǐ
Zara,莎拉,f,shā lā
Zebulon,纪伯伦,m,jì bó lún
Zenobia,丽诺比丽,f,lì nuò bǐ lì
Zero,苏洛,m,sū luò
Zoe,佐伊,f,zuǒ yī
Zoe,若伊,f,ruò yī
Zona,若娜,f,ruò nà
Zora,若拉,f,ruò lā
